IMDB ID,Budget,Gross,,,,,,,,,,,,,,
tt0008133,,,,,,,,,,,,,,,,
tt0010323,"$18,000 ",,,,,,,,,,,,,,,
tt0028212,,,,,,,,,,,,,,,,
tt0028358,,"GBP300,000",,,,,,,,,,,,,,
tt0042332,"$2,900,000 ","$85,000,000 ",,,,,,,,,,,,,,
tt0046004,"$30,000 ","$27,373 ",,,,,,,,,,,,,,
tt0047396,"$1,000,000 ","$36,764,313 ",,,,,,,,,,,,,,
tt0052618,"$15,900,000 ","$74,700,000 ",,,,,,,,,,,,,,
tt0052893,"$88,300 ",,,,,,,,,,,,,,,
tt0054177,"$180,000 ","$24,296 ",,,,,,,,,,,,,,
tt0057202,"$20,178 ",,,,,,,,,,,,,,,
tt0058414,"$160,000 ","$12,438 ",,,,,,,,,,,,,,
tt0058898,"$220,000 ","$46,585 ",,,,,,,,,,,,,,
tt0061852,"$4,000,000 ","$141,843,612 ",,,,,,,,,,,,,,
tt0065377,"$10,000,000 ","$100,489,150 ",,,,,,,,,,,,,,
tt0065780,"$252,570 ",,,,,,,,,,,,,,,
tt0066921,"$2,200,000 ",,,,,,,,,,,,,,,
tt0067409,"$33,065 ",,,,,,,,,,,,,,,
tt0067541,"$800,000 ","$50,394 ",,,,,,,,,,,,,,
tt0067824,"$100,000 ",,,,,,,,,,,,,,,
tt0067900,"$48,040 ",,,,,,,,,,,,,,,
tt0068178,"$4,100 ",,,,,,,,,,,,,,,
tt0071381,"$31,452 ",,,,,,,,,,,,,,,
tt0072081,"$5,000,000 ","$41,833,347 ",,,,,,,,,,,,,,
tt0073113,"$15,000,000 ","$27,945,225 ",,,,,,,,,,,,,,
tt0074252,"$6,590 ",,,,,,,,,,,,,,,
tt0076729,"$4,300,000 ","$126,737,428 ",,,,,,,,,,,,,,
tt0077248,,,,,,,,,,,,,,,,
tt0077416,"$15,000,000 ","$48,979,328 ",,,,,,,,,,,,,,
tt0077651,"$300,000 ","$47,000,000 ",,,,,,,,,,,,,,
tt0077766,"$20,000,000 ","$102,922,376 ",,,,,,,,,,,,,,
tt0078723,"$35,000,000 ","$31,755,742 ",,,,,,,,,,,,,,
tt0078788,"$31,500,000 ","$83,471,511 ",,,,,,,,,,,,,,
tt0079367,"$73,691,419 ",,,,,,,,,,,,,,,
tt0079753,"$12,500,000 ","$2,425,315 ",,,,,,,,,,,,,,
tt0080455,"$27,000,000 ","$57,229,890 ",,,,,,,,,,,,,,
tt0080520,"$41,675,194 ",,,,,,,,,,,,,,,
tt0080549,"$67,182,787 ",,,,,,,,,,,,,,,
tt0080745,"$20,000,000 ",,,,,,,,,,,,,,,
tt0080761,"$550,000 ","$39,754,601 ",,,,,,,,,,,,,,
tt0080798,,,,,,,,,,,,,,,,
tt0080917,"$2,008,150 ",,,,,,,,,,,,,,,
tt0080934,"$22,000,000 ","$15,716,828 ",,,,,,,,,,,,,,
tt0081249,"$15,000,000 ","$14,662,035 ",,,,,,,,,,,,,,
tt0081414,"$3,910,019 ",,,,,,,,,,,,,,,
tt0081529,"$66,132,626 ",,,,,,,,,,,,,,,
tt0081534,"$5,100,000 ","$9,709,597 ",,,,,,,,,,,,,,
tt0081748,"$6,659,377 ",,,,,,,,,,,,,,,
tt0082001,"$4,454,295 ",,,,,,,,,,,,,,,
tt0082010,"$10,000,000 ","$30,565,292 ",,,,,,,,,,,,,,
tt0082121,"$31,261,269 ",,,,,,,,,,,,,,,
tt0082193,"$12,000,000 ",,,,,,,,,,,,,,,
tt0082198,"$20,000,000 ","$39,565,475 ",,,,,,,,,,,,,,
tt0082200,"$15,578,237 ",,,,,,,,,,,,,,,
tt0082250,"$2,000,000 ","$16,100,000 ",,,,,,,,,,,,,,
tt0082329,"$31,184,024 ",,,,,,,,,,,,,,,
tt0082405,"$50,427,646 ",,,,,,,,,,,,,,,
tt0082476,,,,,,,,,,,,,,,,
tt0082558,"$20,259,961 ",,,,,,,,,,,,,,,
tt0082846,"$119,285,432 ",,,,,,,,,,,,,,,
tt0082958,"$12,000,000 ","$3,702,028 ",,,,,,,,,,,,,,
tt0082971,"$18,000,000 ","$248,159,971 ",,,,,,,,,,,,,,
tt0083079,"$8,400,000 ","$1,622,898 ",,,,,,,,,,,,,,
tt0083642,"$35,000,000 ","$69,701,637 ",,,,,,,,,,,,,,
tt0083722,"$18,000,000 ","$7,000,000 ",,,,,,,,,,,,,,
tt0083791,"$15,000,000 ","$40,577,001 ",,,,,,,,,,,,,,
tt0083798,"$9,000,000 ","$18,197,170 ",,,,,,,,,,,,,,
tt0083805,,,,,,,,,,,,,,,,
tt0083866,"$10,500,000 ","$435,110,554 ",,,,,,,,,,,,,,
tt0083900,"$143,369 ",,,,,,,,,,,,,,,
tt0083929,"$4,500,000 ","$27,092,880 ",,,,,,,,,,,,,,
tt0083936,"$3,335,948 ",,,,,,,,,,,,,,,
tt0084058,"$802,965 ",,,,,,,,,,,,,,,
tt0084269,,,,,,,,,,,,,,,,
tt0084445,"$26,000,000 ","$636,796 ",,,,,,,,,,,,,,
tt0084469,"$3,500,000 ","$5,588,800 ",,,,,,,,,,,,,,
tt0084691,"$6,668,025 ",,,,,,,,,,,,,,,
tt0084707,"$12,000,000 ","$30,036,000 ",,,,,,,,,,,,,,
tt0084787,"$15,000,000 ","$13,782,838 ",,,,,,,,,,,,,,
tt0085180,,,,,,,,,,,,,,,,
tt0085387,"$16,134,627 ",,,,,,,,,,,,,,,
tt0085450,"$10,375,893 ",,,,,,,,,,,,,,,
tt0085473,"$1,262,691 ",,,,,,,,,,,,,,,
tt0085642,"$114,247 ",,,,,,,,,,,,,,,
tt0085750,"$20,500,000 ","$45,517,055 ",,,,,,,,,,,,,,
tt0085959,"$9,000,000 ","$14,929,552 ",,,,,,,,,,,,,,
tt0086112,"$694,497 ",,,,,,,,,,,,,,,
tt0086143,"$14,049,540 ",,,,,,,,,,,,,,,
tt0086154,"$5,000,000 ","$34,725,000 ",,,,,,,,,,,,,,
